los,grade,index,contents
B본부,Manager,KPI,사안의 핵심이 무엇인지 파악하기 위해 생각하고 상황을 추리한다.
B본부,Manager,역량,다중적인 업무수행능력
B본부,Manager,KPI,다양한 업무의 계획대비 실적이나 업무 진행 과정을 정확하고 철저하게 관리/점검한다.
B본부,Manager,KPI,보다 계획성 있게 자신의 업무를 구조화/체계화 하여 관리한다.
B본부,Manager,역량,기획력
B본부,Manager,KPI,"교육청의 미션, 비전 및 성과목표를 이해하고 주요이슈 및 환경을 반영하여 행정효율을 높이거나 업무/정책에 반영할 수 있는 새로운 안 또는 아이디어를 도출해낸다."
B본부,Manager,KPI,"과제의 중요성 및 시급성, 각 대안의 파급효과를 고려하여 실행 가능한 전체적인 추진계획과 세부 단계별 추진계획을 수립한다."
B본부,Manager,역량,상황인식·판단력
B본부,Manager,KPI,대내외 환경의 변화를 감지하여 현안과 관련된 정보를 분석하고 정책수요자 및 결과에 미칠 파급효과를 명확하게 인식한다.
B본부,Manager,KPI,문제 발생 가능성을 예측하고 추진 시 장애요소를 고려하여 최적의 대안을 제시한다.
B본부,Director,역량,문제해결능력
B본부,Director,KPI,업무수행 중 현실의 상태와 바람직한 상태의 차이가 왜 생기는지 다양한 정보를 활용하여 문제의 근본 원인을 규명한다.
B본부,Director,KPI,"발생한 문제 해결을 위하여 해결 아이디어 도출, 해결안의 타당성 평가를 통하여 최적의 해결안을 찾는다."
B본부,Director,역량,열정마인드
B본부,Director,KPI,"무엇이든지 개선하고자 하는 의지가 강하며 시행착오를 두려워하지 않고, 긍정적인 태도로 열의를 가지고 업무에 임하며 목표의식을 가지고 과감하게 시도하여 성과를 얻는다."
B본부,Director,역량,아이디어 도출
B본부,Director,KPI,문제의식을 가지고 창의적인 아이디어를 제안한다.
B본부,Director,KPI,현재의 업무방식을 개선하기 위해 지속적으로 노력한다.
B본부,Director,역량,문서작성 및 관리
B본부,Director,KPI,문서작성 시 형식에 오류가 없고 정확한 논점이 있다.
B본부,Director,역량,세밀한 일처리
B본부,Director,KPI,업무 결과물 품질에 영향을 미치는 모든 부분을 철저하게 검토 및 점검하여 준비한다.
B본부,Director,KPI,항상 목표나 계획에 대비해서 진척도를 점검하고 오류를 꼼꼼하게 찾아낸다.
C본부,Associate,역량,경청
C본부,Associate,KPI,"상사나 동료와 대화 시 표면적인 메시지 (내용) 뿐만 아니라 상대방의 아이디어, 감정, 의도에 주의를 기울이고 대화의 진의를 파악하기 위해 적절한 질문을 던진다."
C본부,Associate,KPI,상대방의 말을 끊지 않고 끝까지 들으며 적절한 Body Language (끄덕임. 눈맞춤 등)를 통해 상대가 계속적으로 이야기 할 수 있도록 유도한다.
C본부,Associate,역량,유연하고 감성적인 인지력 
C본부,Associate,KPI,기존의 합리적이고 이성적 관점을 중심으로 인문학과 감성적 측면을 더하여 문제를 인식한다.
C본부,Associate,KPI,창의적인 아이디어와 해결안 창출을 위해 자신에게 반하는 이견이나 다양한 관점을 수용하고 인정한다.
C본부,Associate,역량,문제의식
C본부,Associate,KPI,문제 사안에 누가 관련되어 있는지 어떻게 시작되었는지 등 다양한 측면을 살펴 문제를 이해하려 한다.
C본부,Associate,KPI,사안의 핵심이 무엇인지 파악하기 위해 생각하고 상황을 추리한다.
C본부,Associate,역량,정보분류 활용
C본부,Associate,KPI,평소에 정보를 확보하기 위해 여러 가지 매체와 사람을 접한다.
C본부,Associate,KPI,업무 수행에 있어 중요한 정보를 확보하기 위해 노력한다.
C본부,Associate,역량,업무추진력
C본부,Associate,KPI,조직 및 개인의 성과를 향상시킬 수 있는 프로그램을 설계하기 위해 모든 부서의 업무 특성 및 흐름을 신속하게 파악한다.
C본부,Associate,KPI,구체적인 실현 가능한 업무목표를 세우고 이를 달성하기 위한 세부계획을 명확히 작성한다.
C본부,Manager,역량,자원조직화
C본부,Manager,KPI,"목표달성을 위하여 자원을 효과적, 효율적으로 운용한다."
C본부,Manager,KPI,업무를 정확하게 파악하고 성과를 극대화하기 위하여 자원을 분배한다.
C본부,Manager,역량,의사소통
C본부,Manager,KPI,"상대방의 말과 태도에 집중하여 상대방의 전달 내용뿐만 아니라 표정, 제스처, 행동에서 나타나는 의도 및 진의를 정확히 파악한다."
C본부,Manager,KPI,"상대방에게 전달하려는 내용을 뒷받침할 수 있는 사실, 입장 및 정황 등 관련 정보를 파악하여 제시함으로써 상대의 동의 및 협력을 이끌어 낸다."
C본부,Manager,역량,다중적인 업무수행능력
C본부,Manager,KPI,다양한 업무의 계획대비 실적이나 업무 진행 과정을 정확하고 철저하게 관리/점검한다.
C본부,Manager,KPI,보다 계획성 있게 자신의 업무를 구조화/체계화 하여 관리한다.
C본부,Manager,역량,기획력
C본부,Manager,KPI,"교육청의 미션, 비전 및 성과목표를 이해하고 주요이슈 및 환경을 반영하여 행정효율을 높이거나 업무/정책에 반영할 수 있는 새로운 안 또는 아이디어를 도출해낸다."
C본부,Manager,KPI,"과제의 중요성 및 시급성, 각 대안의 파급효과를 고려하여 실행 가능한 전체적인 추진계획과 세부 단계별 추진계획을 수립한다."
C본부,Manager,역량,상황인식·판단력
C본부,Manager,KPI,대내외 환경의 변화를 감지하여 현안과 관련된 정보를 분석하고 정책수요자 및 결과에 미칠 파급효과를 명확하게 인식한다.
C본부,Manager,KPI,문제 발생 가능성을 예측하고 추진 시 장애요소를 고려하여 최적의 대안을 제시한다.
C본부,Director,역량,문제해결능력
C본부,Director,KPI,업무수행 중 현실의 상태와 바람직한 상태의 차이가 왜 생기는지 다양한 정보를 활용하여 문제의 근본 원인을 규명한다.
C본부,Director,KPI,"발생한 문제 해결을 위하여 해결 아이디어 도출, 해결안의 타당성 평가를 통하여 최적의 해결안을 찾는다."
C본부,Director,역량,아이디어 도출
C본부,Director,KPI,문제의식을 가지고 창의적인 아이디어를 제안한다.
C본부,Director,KPI,현재의 업무방식을 개선하기 위해 지속적으로 노력한다.
C본부,Director,역량,문서작성 및 관리
C본부,Director,KPI,문서작성 시 형식에 오류가 없고 정확한 논점이 있다.
C본부,Director,역량,세밀한 일처리
C본부,Director,KPI,업무 결과물 품질에 영향을 미치는 모든 부분을 철저하게 검토 및 점검하여 준비한다.
C본부,Director,KPI,항상 목표나 계획에 대비해서 진척도를 점검하고 오류를 꼼꼼하게 찾아낸다.
D본부,Associate,역량,
D본부,Associate,KPI,
